Date,Close,Volume
2022-01-01,101.76405234596767,215616
2022-01-02,102.16420955433489,246660
2022-01-03,103.14294753844062,400539
2022-01-04,105.38384073764209,160155
2022-01-05,107.25139872779205,220953
2022-01-06,106.27412084791564,269286
2022-01-07,107.22420926544123,362613
2022-01-08,107.07285205714354,143295
2022-01-09,106.96963320534998,174253
2022-01-10,107.38023170728835,216551
2022-01-11,107.52427527844922,265560
2022-01-12,108.9785487854122,269112
2022-01-13,109.73958651055919,204489
2022-01-14,109.86126152705202,348082
2022-01-15,110.30512475979745,246984
2022-01-16,110.63879908717172,444271
2022-01-17,112.13287816032931,377259
2022-01-18,111.92771989656352,481094
2022-01-19,112.24078759821441,179983
2022-01-20,111.3866918589127,283645
2022-01-21,108.83370204307862,325273
2022-01-22,109.48732063851898,351009
2022-01-23,110.35175683737847,339478
2022-01-24,109.60959181697204,111052
2022-01-25,111.87934644095964,485240
2022-01-26,110.42498076636087,115741
2022-01-27,110.47073928366233,419512
2022-01-28,110.2835554336365,194275
2022-01-29,111.81633464799495,406130
2022-01-30,113.28569341789523,367247
2022-01-31,113.44064084359215,222627
2022-02-01,113.81880336319432,135050
2022-02-02,112.93101761556422,494956
2022-02-03,110.95022114734029,417414
2022-02-04,110.60230899801414,243651
2022-02-05,110.75865796711811,433526
2022-02-06,111.98894864784583,473758
2022-02-07,113.19132849663025,278877
2022-02-08,112.8040016792223,251237
2022-02-09,112.50169892864696,233847
2022-02-10,111.45314596357986,315595
2022-02-11,110.03312802640089,130752
2022-02-12,108.32685783577588,451243
2022-02-13,110.27763323100767,310536
2022-02-14,109.76798104925601,171892
2022-02-15,109.32990674764483,133930
2022-02-16,108.0771113875949,146774
2022-02-17,108.85460174342681,390795
2022-02-18,107.24070389586886,425029
2022-02-19,107.0279636156549,247069
2022-02-20,106.13249705446121,461071
2022-02-21,106.51939955232048,459912
2022-02-22,106.0085944147516,174498
2022-02-23,104.8279622306292,163003
2022-02-24,104.79978000229053,448115
2022-02-25,105.22811187282096,274743
2022-02-26,105.29462909520413,379726
2022-02-27,105.59710099294391,391988
2022-02-28,104.96277889926294,184917
2022-03-01,104.6000377332758,138429
2022-03-02,103.92757728549985,443619
2022-03-03,103.5680241239593,438467
2022-03-04,102.75487784191486,182727
2022-03-05,101.02859523958318,422953
2022-03-06,101.20602138183693,233193
2022-03-07,100.80424044562866,276425
2022-03-08,99.17404209866262,321059
2022-03-09,99.6368243541884,234958
2022-03-10,98.72952598980515,141690
2022-03-11,98.7814713856013,319058
2022-03-12,99.51056194777884,311820
2022-03-13,99.63954485853624,175523
2022-03-14,100.77894554307954,347583
2022-03-15,99.5441197227259,213417
2022-03-16,99.94646136390344,488490
2022-03-17,99.26165127296312,226491
2022-03-18,98.39085412378125,182119
2022-03-19,97.81200445901683,236253
2022-03-20,97.50045192688945,143349
2022-03-21,97.5566172691192,307650
2022-03-22,96.39146742833584,273986
2022-03-23,97.29229391529003,301816
2022-03-24,97.7579563550205,171713
2022-03-25,96.22171266874327,294792
2022-03-26,97.70996486253887,301471
2022-03-27,99.60585403856945,483012
2022-03-28,100.7846336097291,478624
2022-03-29,100.60470877391676,409538
2022-03-30,99.5339561524062,304997
2022-03-31,100.58840787933735,363038
2022-04-01,100.18523093236416,163413
2022-04-02,101.4076760027466,220062
2022-04-03,101.61595098082346,395048
2022-04-04,102.59259001730717,421745
2022-04-05,102.94895641448157,191504
2022-04-06,103.65552958267352,212931
2022-04-07,103.66602960339434,179224
2022-04-08,105.45190009730017,431099
2022-04-09,105.57881219000379,444232
2022-04-10,105.98080155344849,106004
